sku,product_name,slug,style,category
YX4002,Christmas Polymer Clay Sprinkle Mix,yx4002-christmas-polymer-clay-sprinkle-mix,Seasonal,polymer-clay-slices
YX4003,Halloween Polymer Clay Sprinkle Mix,yx4003-halloween-polymer-clay-sprinkle-mix,Seasonal,polymer-clay-slices
YX4004,Colorful Pixel Game Polymer Clay Slice Mix,yx4004-colorful-pixel-game-polymer-clay-slice-mix,Decorative,polymer-clay-slices
YX4005,Colorful Candy Polymer Clay Slice Mix,yx4005-colorful-candy-polymer-clay-slice-mix,Sweet,polymer-clay-slices
YX4008,Christmas Candy Polymer Clay Slice Mix,yx4008-christmas-candy-polymer-clay-slice-mix,Seasonal,polymer-clay-slices
YX4009,Colorful Game Polymer Clay Slice Mix,yx4009-colorful-game-polymer-clay-slice-mix,Decorative,polymer-clay-slices
YX4010,Pastel Candy Polymer Clay Sprinkle Mix,yx4010-pastel-candy-polymer-clay-sprinkle-mix,Sweet,polymer-clay-slices
YX4011,Pastel Fruit & Flower Polymer Clay Slice Mix,yx4011-pastel-fruit-flower-polymer-clay-slice-mix,Fruit,polymer-clay-slices
